Bank Name,City,ST,,Acquiring Institution,Closing Date,Updated Date
Doral Bank,San Juan,PR,32102,Banco Popular de Puerto Rico,27-Feb-15,5-Mar-15
Capitol City Bank & Trust Company,Atlanta,GA,33938,First-Citizens Bank & Trust Company,13-Feb-15,5-Mar-15
Highland Community Bank,Chicago,IL,20290,"United Fidelity Bank, fsb",23-Jan-15,11-Feb-15
First National Bank of Crestview ,Crestview,FL,17557,First NBC Bank,16-Jan-15,11-Feb-15
Northern Star Bank,Mankato,MN,34983,BankVista,19-Dec-14,4-Feb-15
"Frontier Bank FSB D/B/A El Paseo Bank","Palm Desert",CA,34738,"Bank of Southern California, N.A.",7-Nov-14,4-Feb-15
The National Republic Bank of Chicago,Chicago,IL,916,State Bank of Texas,24-Oct-14,4-Feb-15
NBRS Financial,Rising Sun,MD,4862,Howard Bank,17-Oct-14,4-Feb-15
"GreenChoice Bank fsb",Chicago,IL,28462,"Providence Bank, LLC",25-Jul-14,5-Jan-15
Eastside Commercial Bank,Conyers,GA,58125,Community & Southern Bank,18-Jul-14,5-Jan-15
The Freedom State Bank ,Freedom,OK,12483,Alva State Bank & Trust Company,27-Jun-14,18-Jul-14
Valley Bank,Fort Lauderdale,FL,21793,"Landmark Bank, National Association",20-Jun-14,28-Jul-14
Valley Bank,Moline,IL,10450,Great Southern Bank,20-Jun-14,28-Jul-14
Slavie Federal Savings Bank,Bel Air,MD,32368,"Bay Bank, FSB",30-May-14,18-Jul-14
Columbia Savings Bank,Cincinnati,OH,32284,"United Fidelity Bank, fsb",23-May-14,18-Jul-14
AztecAmerica Bank ,Berwyn,IL,57866,Republic Bank of Chicago,16-May-14,18-Jul-14
Allendale County Bank,Fairfax,SC,15062,Palmetto State Bank,25-Apr-14,18-Jul-14
Vantage Point Bank,Horsham,PA,58531,First Choice Bank,28-Feb-14,3-Mar-15
"Millennium Bank National Association ",Sterling,VA,35096,"WashingtonFirst Bank",28-Feb-14,3-Mar-15
Syringa Bank,Boise,ID,34296,Sunwest Bank,31-Jan-14,19-Feb-15
The Bank of Union,El Reno,OK,17967,BancFirst,24-Jan-14,19-Feb-15
DuPage National Bank,West Chicago,IL,5732,Republic Bank of Chicago,17-Jan-14,19-Feb-15
"Texas Community Bank National Association","The Woodlands",TX,57431,"Spirit of Texas Bank, SSB",13-Dec-13,29-Dec-14
Bank of Jackson County,Graceville,FL,14794,First Federal Bank of Florida,30-Oct-13,5-Nov-14
First National Bank also operating as The National Bank of El Paso,Edinburg,TX,14318,PlainsCapital Bank,13-Sep-13,12-Sep-14
Riverside National Bank of Florida,Fort Pierce,FL,24067,"TD Bank, N.A.",16-Apr-10,21-Mar-14
AmericanFirst Bank,Clermont,FL,57724,"TD Bank, N.A.",16-Apr-10,21-Mar-14
First Federal Bank of North Florida,Palatka,FL,28886,"TD Bank, N.A.",16-Apr-10,21-Mar-14
Lakeside Community Bank,Sterling Heights,MI,34878,No Acquirer,16-Apr-10,23-Aug-12
Beach First National Bank,Myrtle Beach,SC,34242,Bank of North Carolina,9-Apr-10,21-Mar-14
Desert Hills Bank,Phoenix,AZ,57060,New York Community Bank,26-Mar-10,23-Aug-12
Unity National Bank,Cartersville,GA,34678,Bank of the Ozarks,26-Mar-10,21-Mar-14
Key West Bank,Key West,FL,34684,Centennial Bank,26-Mar-10,21-Mar-14
McIntosh Commercial Bank,Carrollton,GA,57399,CharterBank,26-Mar-10,21-Mar-14
State Bank of Aurora,Aurora,MN,8221,Northern State Bank,19-Mar-10,23-Aug-12
First Lowndes Bank,Fort Deposit,AL,24957,First Citizens Bank,19-Mar-10,21-Mar-14
Bank of Hiawassee,Hiawassee,GA,10054,Citizens South Bank,19-Mar-10,21-Mar-14
Appalachian Community Bank,Ellijay,GA,33989,Community & Southern Bank,19-Mar-10,21-Mar-14
Advanta Bank Corp.,Draper,UT,33535,No Acquirer,19-Mar-10,14-Sep-12
Century Security Bank,Duluth,GA,58104,Bank of Upson,19-Mar-10,21-Mar-14
American National Bank,Parma,OH,18806,The National Bank and Trust Company,19-Mar-10,23-Aug-12
Statewide Bank,Covington,LA,29561,Home Bank,12-Mar-10,23-Aug-12
Old Southern Bank,Orlando,FL,58182,Centennial Bank,12-Mar-10,21-Mar-14
The Park Avenue Bank,New York,NY,27096,Valley National Bank,12-Mar-10,23-Aug-12
LibertyPointe Bank,New York,NY,58071,Valley National Bank,11-Mar-10,23-Aug-12
Centennial Bank,Ogden,UT,34430,No Acquirer,5-Mar-10,14-Sep-12
Waterfield Bank,Germantown,MD,34976,No Acquirer,5-Mar-10,23-Aug-12
Bank of Illinois,Normal,IL,9268,Heartland Bank and Trust Company,5-Mar-10,23-Aug-12
Sun American Bank,Boca Raton,FL,27126,First-Citizens Bank & Trust Company,5-Mar-10,21-Mar-14
Rainier Pacific Bank,Tacoma,WA,38129,Umpqua Bank,26-Feb-10,23-Aug-12
